# Instances,Accuracy,F1-Score
55,0.098765432,0.099378882
105,0.098765432,0.099378882
155,0.199294533,0.199729337
205,0.296296296,0.30975094
255,0.395061728,0.41838838
305,0.488536155,0.510769012
355,0.574955908,0.600617353
405,0.633156966,0.647127721
455,0.737213404,0.759746825
505,0.738977072,0.762201377
555,0.811287478,0.819910668
605,0.924162257,0.923753675
655,0.899470899,0.90059316
705,0.917107584,0.918834131
755,0.901234568,0.90117195
805,0.899470899,0.89952103
855,0.897707231,0.897590804
905,0.869488536,0.870687327
955,0.906525573,0.906639853
1005,0.917107584,0.918009113
1055,0.890652557,0.893627935
1105,0.908289242,0.908178495
1155,0.913580247,0.913926856
1205,0.917107584,0.918398852
1255,0.931216931,0.932170552
1305,0.929453263,0.929725596
1355,0.768959436,0.783705217
1405,0.936507937,0.937501088
1455,0.931216931,0.931879777
1505,0.934744268,0.935709758
1555,0.915343915,0.916413726
1605,0.940035273,0.940404323
1655,0.915343915,0.916756931
1705,0.941798942,0.942988249
1755,0.945326279,0.945570094
1805,0.936507937,0.937669204
1855,0.934744268,0.936281491
1905,0.931216931,0.932044285
1955,0.952380952,0.952556771
2005,0.936507937,0.937533902
2055,0.936507937,0.936954397
2105,0.94356261,0.943827341
2155,0.913580247,0.914998272
2205,0.950617284,0.952137062
2255,0.936507937,0.937275049
2305,0.934744268,0.936184321
2355,0.936507937,0.936841875
2405,0.945326279,0.945920727
2455,0.952380952,0.954051854
2505,0.945326279,0.945876555
2555,0.940035273,0.941579496
2605,0.934744268,0.93496569
2655,0.940035273,0.941034921
2705,0.938271605,0.940141821
2755,0.952380952,0.953014689
2805,0.954144621,0.955185144
2855,0.947089947,0.948059109
2905,0.9329806,0.933129233
2955,0.957671958,0.958145851
3005,0.952380952,0.953326276
3055,0.929453263,0.931295844
3105,0.941798942,0.942285386
3155,0.941798942,0.942445965
3205,0.945326279,0.945492788
3255,0.957671958,0.958123774
3305,0.934744268,0.935083295
3355,0.936507937,0.936808629
3405,0.940035273,0.940940642
3455,0.925925926,0.926829547
3505,0.955908289,0.957383516
3555,0.945326279,0.945756394
3605,0.950617284,0.951221509
3655,0.913580247,0.913396287
3705,0.917107584,0.917252145
3755,0.961199295,0.961406184
3805,0.94356261,0.944263879
3855,0.911816578,0.912454615
3905,0.954144621,0.954676753
3955,0.947089947,0.948002099
4005,0.950617284,0.951269879
4055,0.950617284,0.951736075
4105,0.938271605,0.938772282
4155,0.94356261,0.944307679
4205,0.947089947,0.948015383
4255,0.948853616,0.949744508
4305,0.9329806,0.934044228
4355,0.948853616,0.949908348
4405,0.957671958,0.958111523
4455,0.938271605,0.93929359
4505,0.947089947,0.947433469
4555,0.948853616,0.949572727
4605,0.94356261,0.944586077
4655,0.945326279,0.946538526
4705,0.952380952,0.953258235
4755,0.938271605,0.938544637
4805,0.927689594,0.930055704
4855,0.941798942,0.943425261
4905,0.945326279,0.946229113
4955,0.954144621,0.955137977
5005,0.945326279,0.945782927
5055,0.940035273,0.942250196
